Region,Measure Names,Country Name,Latitude (generated),Longitude (generated),Measure Values,CO2 (kt),CO2 Per Capita (metric tons)
East Asia & Pacific,Count of CO2 Data Cleaned,Brunei Darussalam,4.452,114.557,52,253378.699,1117.88840678
East Asia & Pacific,Count of CO2 Data Cleaned,Australia,-24.578,133.582,52,12424734.752,746.977087096
East Asia & Pacific,Count of CO2 Data Cleaned,American Samoa,-14.3018,-170.7511,52,,
Europe & Central Asia,CO2 (kt),Uzbekistan,41.757,63.958,2308288.492,2308288.492,92.469614904
Europe & Central Asia,CO2 (kt),United Kingdom,52.289,-1.259,29651728.7,29651728.7,520.211358039
Europe & Central Asia,CO2 (kt),Ukraine,49.364,32.132,7295558.839,7295558.839,148.693224243
Europe & Central Asia,CO2 (kt),Turkmenistan,39.584,59.597,823978.567,823978.567,178.867175343
Europe & Central Asia,CO2 (kt),Turkey,39.144,34.188,6704812.473,6704812.473,120.131152953
Europe & Central Asia,CO2 (kt),Tajikistan,38.367,72.597,58055.944,58055.944,9.189287793
Europe & Central Asia,CO2 (kt),Switzerland,46.7794,8.0329,1998614.009,1998614.009,301.122755291
Europe & Central Asia,CO2 (kt),Sweden,66.2188,19,3240634.243,3240634.243,387.144300372
Europe & Central Asia,CO2 (kt),Spain,40.617,-3.388,10648571.964,10648571.964,271.137111624
Europe & Central Asia,CO2 (kt),Slovenia,46.037,14.534,302736.519,302736.519,151.108457618
Europe & Central Asia,CO2 (kt),Slovak Republic,48.8595,19.4434,782028.087,782028.087,145.59622106
Europe & Central Asia,CO2 (kt),Serbia,44.021,20.699,299087.854,299087.854,40.783206036
Europe & Central Asia,CO2 (kt),San Marino,43.942,12.4611,,,
Europe & Central Asia,CO2 (kt),Russian Federation,64.736,104.062,33210676.878,33210676.878,228.103983576
Europe & Central Asia,CO2 (kt),Romania,45.933,25.119,6703459.35,6703459.35,309.560676536
Europe & Central Asia,CO2 (kt),Portugal,40.957,-7.9373,1841398.718,1841398.718,184.157147392
Europe & Central Asia,CO2 (kt),Poland,52.442,19.72,17662303.518,17662303.518,491.957027265
Europe & Central Asia,CO2 (kt),Norway,61.3701,9.3031,1702767.783,1702767.783,399.25120117
Europe & Central Asia,CO2 (kt),Netherlands,52.1704,5.0102,7808982.843,7808982.843,535.685628853
Europe & Central Asia,CO2 (kt),Montenegro,42.857,19.096,16420.826,16420.826,26.604860747
Europe & Central Asia,CO2 (kt),Monaco,43.7384,7.4243,,,
Europe & Central Asia,CO2 (kt),Moldova,47.524,28.444,143145.012,143145.012,39.238601169
Europe & Central Asia,CO2 (kt),"Macedonia, FYR",41.636,21.676,214402.156,214402.156,106.590567972
Europe & Central Asia,CO2 (kt),Luxembourg,49.671,6.113,555227.804,555227.804,1466.218482961
Europe & Central Asia,CO2 (kt),Lithuania,55.342,24.23,296022.242,296022.242,86.358519897
Europe & Central Asia,CO2 (kt),Liechtenstein,47.1593,9.547,304.361,304.361,8.467140128
Europe & Central Asia,CO2 (kt),Latvia,57.017,25.0173,167794.586,167794.586,71.70214605
Europe & Central Asia,CO2 (kt),Kyrgyz Republic,41.741,75.043,116456.586,116456.586,23.641359395
Europe & Central Asia,CO2 (kt),Kosovo,42.546,20.921,,,
Europe & Central Asia,CO2 (kt),Kazakhstan,48.866,69.772,3656681.062,3656681.062,233.910633609
Europe & Central Asia,CO2 (kt),Italy,44.3713,11.1084,18746818.768,18746818.768,332.945501685
Europe & Central Asia,CO2 (kt),Isle of Man,54.2362,-4.5149,,,
Europe & Central Asia,CO2 (kt),Ireland,53.214,-7.588,1496744.722,1496744.722,416.181192236
Europe & Central Asia,CO2 (kt),Iceland,64.826,-18.417,93548.837,93548.837,382.104847558
Europe & Central Asia,CO2 (kt),Hungary,47.174,19.618,3465072.978,3465072.978,334.124017645
Europe & Central Asia,CO2 (kt),Greenland,71,-39,25518.653,25518.653,500.454365788
Europe & Central Asia,CO2 (kt),Greece,39.787,21.617,3059601.787,3059601.787,298.55905013
Europe & Central Asia,CO2 (kt),Germany,51.3819,9.9877,17379618.155,17379618.155,212.28389851
Europe & Central Asia,CO2 (kt),Georgia,42.05,43.576,116064.217,116064.217,26.560617979
Europe & Central Asia,CO2 (kt),France,46.656,2.543,20549134.6,20549134.6,364.522839606
Europe & Central Asia,CO2 (kt),Finland,62.716,26.192,2486402.016,2486402.016,501.365132246
Europe & Central Asia,CO2 (kt),Faroe Islands,62.1252,-7.0174,24000.515,24000.515,533.615784522
Europe & Central Asia,CO2 (kt),Estonia,58.777,25.977,346916.535,346916.535,249.623773318
Europe & Central Asia,CO2 (kt),Denmark,56.113,9.096,2763894.907,2763894.907,539.03191052
Europe & Central Asia,CO2 (kt),Czech Republic,49.848,15.2812,2424242.699,2424242.699,235.293808875
Europe & Central Asia,CO2 (kt),Cyprus,34.894,32.928,216954.388,216954.388,258.902276438
Europe & Central Asia,CO2 (kt),Croatia,45.754,16.385,412284.477,412284.477,92.184661854
Europe & Central Asia,CO2 (kt),Channel Islands,49.4632,-2.5827,,,
Europe & Central Asia,CO2 (kt),Bulgaria,42.625,24.521,3154023.37,3154023.37,373.458493042
Europe & Central Asia,CO2 (kt),Bosnia and Herzegovina,44.342,17.804,255875.926,255875.926,66.733233433
Europe & Central Asia,CO2 (kt),Belgium,50.6745,4.4588,5883690.499,5883690.499,591.377588387
Europe & Central Asia,CO2 (kt),Belarus,53.3292,27.9492,1223087.513,1223087.513,123.89125608
Europe & Central Asia,CO2 (kt),Azerbaijan,40.46,47.883,690925.139,690925.139,85.153063851
Europe & Central Asia,CO2 (kt),Austria,47.65,14.705,2907190.266,2907190.266,374.446491255
Europe & Central Asia,CO2 (kt),Armenia,40.56,44.449,75778.555,75778.555,24.616487234
Europe & Central Asia,CO2 (kt),Andorra,42.5425,1.5893,8694.457,8694.457,117.753552713
Europe & Central Asia,CO2 (kt),Albania,40.654,20.076,230071.247,230071.247,86.186516051
Europe & Central Asia,CO2 Per Capita (metric tons),Uzbekistan,41.757,63.958,92.469614904,2308288.492,92.469614904
Europe & Central Asia,CO2 Per Capita (metric tons),United Kingdom,52.289,-1.259,520.211358039,29651728.7,520.211358039
Europe & Central Asia,CO2 Per Capita (metric tons),Ukraine,49.364,32.132,148.693224243,7295558.839,148.693224243
Europe & Central Asia,CO2 Per Capita (metric tons),Turkmenistan,39.584,59.597,178.867175343,823978.567,178.867175343
Europe & Central Asia,CO2 Per Capita (metric tons),Turkey,39.144,34.188,120.131152953,6704812.473,120.131152953
Europe & Central Asia,CO2 Per Capita (metric tons),Tajikistan,38.367,72.597,9.189287793,58055.944,9.189287793
Europe & Central Asia,CO2 Per Capita (metric tons),Switzerland,46.7794,8.0329,301.122755291,1998614.009,301.122755291
Europe & Central Asia,CO2 Per Capita (metric tons),Sweden,66.2188,19,387.144300372,3240634.243,387.144300372
Europe & Central Asia,CO2 Per Capita (metric tons),Spain,40.617,-3.388,271.137111624,10648571.964,271.137111624
Europe & Central Asia,CO2 Per Capita (metric tons),Slovenia,46.037,14.534,151.108457618,302736.519,151.108457618
Europe & Central Asia,CO2 Per Capita (metric tons),Slovak Republic,48.8595,19.4434,145.59622106,782028.087,145.59622106
Europe & Central Asia,CO2 Per Capita (metric tons),Serbia,44.021,20.699,40.783206036,299087.854,40.783206036
Europe & Central Asia,CO2 Per Capita (metric tons),San Marino,43.942,12.4611,,,
Europe & Central Asia,CO2 Per Capita (metric tons),Russian Federation,64.736,104.062,228.103983576,33210676.878,228.103983576
Europe & Central Asia,CO2 Per Capita (metric tons),Romania,45.933,25.119,309.560676536,6703459.35,309.560676536
Europe & Central Asia,CO2 Per Capita (metric tons),Portugal,40.957,-7.9373,184.157147392,1841398.718,184.157147392
Europe & Central Asia,CO2 Per Capita (metric tons),Poland,52.442,19.72,491.957027265,17662303.518,491.957027265
Europe & Central Asia,CO2 Per Capita (metric tons),Norway,61.3701,9.3031,399.25120117,1702767.783,399.25120117
Europe & Central Asia,CO2 Per Capita (metric tons),Netherlands,52.1704,5.0102,535.685628853,7808982.843,535.685628853
Europe & Central Asia,CO2 Per Capita (metric tons),Montenegro,42.857,19.096,26.604860747,16420.826,26.604860747
Europe & Central Asia,CO2 Per Capita (metric tons),Monaco,43.7384,7.4243,,,
Europe & Central Asia,CO2 Per Capita (metric tons),Moldova,47.524,28.444,39.238601169,143145.012,39.238601169
Europe & Central Asia,CO2 Per Capita (metric tons),"Macedonia, FYR",41.636,21.676,106.590567972,214402.156,106.590567972
Europe & Central Asia,CO2 Per Capita (metric tons),Luxembourg,49.671,6.113,1466.218482961,555227.804,1466.218482961
Europe & Central Asia,CO2 Per Capita (metric tons),Lithuania,55.342,24.23,86.358519897,296022.242,86.358519897
Europe & Central Asia,CO2 Per Capita (metric tons),Liechtenstein,47.1593,9.547,8.467140128,304.361,8.467140128
Europe & Central Asia,CO2 Per Capita (metric tons),Latvia,57.017,25.0173,71.70214605,167794.586,71.70214605
Europe & Central Asia,CO2 Per Capita (metric tons),Kyrgyz Republic,41.741,75.043,23.641359395,116456.586,23.641359395
Europe & Central Asia,CO2 Per Capita (metric tons),Kosovo,42.546,20.921,,,
Europe & Central Asia,CO2 Per Capita (metric tons),Kazakhstan,48.866,69.772,233.910633609,3656681.062,233.910633609
Europe & Central Asia,CO2 Per Capita (metric tons),Italy,44.3713,11.1084,332.945501685,18746818.768,332.945501685
Europe & Central Asia,CO2 Per Capita (metric tons),Isle of Man,54.2362,-4.5149,,,
Europe & Central Asia,CO2 Per Capita (metric tons),Ireland,53.214,-7.588,416.181192236,1496744.722,416.181192236
Europe & Central Asia,CO2 Per Capita (metric tons),Iceland,64.826,-18.417,382.104847558,93548.837,382.104847558
Europe & Central Asia,CO2 Per Capita (metric tons),Hungary,47.174,19.618,334.124017645,3465072.978,334.124017645
Europe & Central Asia,CO2 Per Capita (metric tons),Greenland,71,-39,500.454365788,25518.653,500.454365788
Europe & Central Asia,CO2 Per Capita (metric tons),Greece,39.787,21.617,298.55905013,3059601.787,298.55905013
Europe & Central Asia,CO2 Per Capita (metric tons),Germany,51.3819,9.9877,212.28389851,17379618.155,212.28389851
Europe & Central Asia,CO2 Per Capita (metric tons),Georgia,42.05,43.576,26.560617979,116064.217,26.560617979
Europe & Central Asia,CO2 Per Capita (metric tons),France,46.656,2.543,364.522839606,20549134.6,364.522839606
Europe & Central Asia,CO2 Per Capita (metric tons),Finland,62.716,26.192,501.365132246,2486402.016,501.365132246
Europe & Central Asia,CO2 Per Capita (metric tons),Faroe Islands,62.1252,-7.0174,533.615784522,24000.515,533.615784522
Europe & Central Asia,CO2 Per Capita (metric tons),Estonia,58.777,25.977,249.623773318,346916.535,249.623773318
Europe & Central Asia,CO2 Per Capita (metric tons),Denmark,56.113,9.096,539.03191052,2763894.907,539.03191052
Europe & Central Asia,CO2 Per Capita (metric tons),Czech Republic,49.848,15.2812,235.293808875,2424242.699,235.293808875
Europe & Central Asia,CO2 Per Capita (metric tons),Cyprus,34.894,32.928,258.902276438,216954.388,258.902276438
Europe & Central Asia,CO2 Per Capita (metric tons),Croatia,45.754,16.385,92.184661854,412284.477,92.184661854
Europe & Central Asia,CO2 Per Capita (metric tons),Channel Islands,49.4632,-2.5827,,,
Europe & Central Asia,CO2 Per Capita (metric tons),Bulgaria,42.625,24.521,373.458493042,3154023.37,373.458493042
Europe & Central Asia,CO2 Per Capita (metric tons),Bosnia and Herzegovina,44.342,17.804,66.733233433,255875.926,66.733233433
Europe & Central Asia,CO2 Per Capita (metric tons),Belgium,50.6745,4.4588,591.377588387,5883690.499,591.377588387
Europe & Central Asia,CO2 Per Capita (metric tons),Belarus,53.3292,27.9492,123.89125608,1223087.513,123.89125608
Europe & Central Asia,CO2 Per Capita (metric tons),Azerbaijan,40.46,47.883,85.153063851,690925.139,85.153063851
Europe & Central Asia,CO2 Per Capita (metric tons),Austria,47.65,14.705,374.446491255,2907190.266,374.446491255
Europe & Central Asia,CO2 Per Capita (metric tons),Armenia,40.56,44.449,24.616487234,75778.555,24.616487234
Europe & Central Asia,CO2 Per Capita (metric tons),Andorra,42.5425,1.5893,117.753552713,8694.457,117.753552713
Europe & Central Asia,CO2 Per Capita (metric tons),Albania,40.654,20.076,86.186516051,230071.247,86.186516051
Europe & Central Asia,Count of CO2 Data Cleaned,Uzbekistan,41.757,63.958,52,2308288.492,92.469614904
Europe & Central Asia,Count of CO2 Data Cleaned,United Kingdom,52.289,-1.259,52,29651728.7,520.211358039
Europe & Central Asia,Count of CO2 Data Cleaned,Ukraine,49.364,32.132,52,7295558.839,148.693224243
Europe & Central Asia,Count of CO2 Data Cleaned,Turkmenistan,39.584,59.597,52,823978.567,178.867175343
Europe & Central Asia,Count of CO2 Data Cleaned,Turkey,39.144,34.188,52,6704812.473,120.131152953
Europe & Central Asia,Count of CO2 Data Cleaned,Tajikistan,38.367,72.597,52,58055.944,9.189287793
Europe & Central Asia,Count of CO2 Data Cleaned,Switzerland,46.7794,8.0329,52,1998614.009,301.122755291
Europe & Central Asia,Count of CO2 Data Cleaned,Sweden,66.2188,19,52,3240634.243,387.144300372
Europe & Central Asia,Count of CO2 Data Cleaned,Spain,40.617,-3.388,52,10648571.964,271.137111624
Europe & Central Asia,Count of CO2 Data Cleaned,Slovenia,46.037,14.534,52,302736.519,151.108457618
Europe & Central Asia,Count of CO2 Data Cleaned,Slovak Republic,48.8595,19.4434,52,782028.087,145.59622106
Europe & Central Asia,Count of CO2 Data Cleaned,Serbia,44.021,20.699,52,299087.854,40.783206036
Europe & Central Asia,Count of CO2 Data Cleaned,San Marino,43.942,12.4611,51,,
Europe & Central Asia,Count of CO2 Data Cleaned,Russian Federation,64.736,104.062,52,33210676.878,228.103983576
Europe & Central Asia,Count of CO2 Data Cleaned,Romania,45.933,25.119,52,6703459.35,309.560676536
Europe & Central Asia,Count of CO2 Data Cleaned,Portugal,40.957,-7.9373,52,1841398.718,184.157147392
Europe & Central Asia,Count of CO2 Data Cleaned,Poland,52.442,19.72,52,17662303.518,491.957027265
Europe & Central Asia,Count of CO2 Data Cleaned,Norway,61.3701,9.3031,52,1702767.783,399.25120117
Europe & Central Asia,Count of CO2 Data Cleaned,Netherlands,52.1704,5.0102,52,7808982.843,535.685628853
Europe & Central Asia,Count of CO2 Data Cleaned,Montenegro,42.857,19.096,52,16420.826,26.604860747
Europe & Central Asia,Count of CO2 Data Cleaned,Monaco,43.7384,7.4243,52,,
Europe & Central Asia,Count of CO2 Data Cleaned,Moldova,47.524,28.444,52,143145.012,39.238601169
Europe & Central Asia,Count of CO2 Data Cleaned,"Macedonia, FYR",41.636,21.676,52,214402.156,106.590567972
Europe & Central Asia,Count of CO2 Data Cleaned,Luxembourg,49.671,6.113,52,555227.804,1466.218482961
Europe & Central Asia,Count of CO2 Data Cleaned,Lithuania,55.342,24.23,52,296022.242,86.358519897
Europe & Central Asia,Count of CO2 Data Cleaned,Liechtenstein,47.1593,9.547,52,304.361,8.467140128
Europe & Central Asia,Count of CO2 Data Cleaned,Latvia,57.017,25.0173,52,167794.586,71.70214605
Europe & Central Asia,Count of CO2 Data Cleaned,Kyrgyz Republic,41.741,75.043,52,116456.586,23.641359395
Europe & Central Asia,Count of CO2 Data Cleaned,Kosovo,42.546,20.921,52,,
Europe & Central Asia,Count of CO2 Data Cleaned,Kazakhstan,48.866,69.772,52,3656681.062,233.910633609
Europe & Central Asia,Count of CO2 Data Cleaned,Italy,44.3713,11.1084,52,18746818.768,332.945501685
Europe & Central Asia,Count of CO2 Data Cleaned,Isle of Man,54.2362,-4.5149,52,,
Europe & Central Asia,Count of CO2 Data Cleaned,Ireland,53.214,-7.588,52,1496744.722,416.181192236
Europe & Central Asia,Count of CO2 Data Cleaned,Iceland,64.826,-18.417,52,93548.837,382.104847558
Europe & Central Asia,Count of CO2 Data Cleaned,Hungary,47.174,19.618,52,3465072.978,334.124017645
Europe & Central Asia,Count of CO2 Data Cleaned,Greenland,71,-39,52,25518.653,500.454365788
Europe & Central Asia,Count of CO2 Data Cleaned,Greece,39.787,21.617,52,3059601.787,298.55905013
Europe & Central Asia,Count of CO2 Data Cleaned,Germany,51.3819,9.9877,52,17379618.155,212.28389851
Europe & Central Asia,Count of CO2 Data Cleaned,Georgia,42.05,43.576,52,116064.217,26.560617979
Europe & Central Asia,Count of CO2 Data Cleaned,France,46.656,2.543,52,20549134.6,364.522839606
Europe & Central Asia,Count of CO2 Data Cleaned,Finland,62.716,26.192,52,2486402.016,501.365132246
Europe & Central Asia,Count of CO2 Data Cleaned,Faroe Islands,62.1252,-7.0174,52,24000.515,533.615784522
